,operatetime,_c1,day,hour,period,day_type,timestamp
439,2022050716,38203,862,16,1,1,1651910400.0
440,2022050715,42682,862,15,1,1,1651906800.0
441,2022050714,44869,862,14,1,1,1651903200.0
442,2022050713,16852,862,13,1,1,1651899600.0
443,2022050712,8389,862,12,1,1,1651896000.0
444,2022050711,25878,862,11,1,1,1651892400.0
445,2022050710,38309,862,10,1,1,1651888800.0
446,2022050709,58874,862,9,1,1,1651885200.0
447,2022050708,69216,862,8,1,1,1651881600.0
448,2022050707,3947,862,7,2,1,1651878000.0
449,2022050706,285,862,6,3,1,1651874400.0
450,2022050705,88,862,5,3,1,1651870800.0
451,2022050704,20,862,4,3,1,1651867200.0
452,2022050703,67,862,3,3,1,1651863600.0
453,2022050702,46,862,2,3,1,1651860000.0
454,2022050701,109,862,1,3,1,1651856400.0
455,2022050700,200,862,0,3,1,1651852800.0
456,2022050623,649,861,23,3,1,1651849200.0
457,2022050622,1059,861,22,2,1,1651845600.0
458,2022050621,1770,861,21,2,1,1651842000.0
459,2022050620,3003,861,20,2,1,1651838400.0
460,2022050619,5286,861,19,2,1,1651834800.0
461,2022050618,12374,861,18,1,1,1651831200.0
462,2022050617,28609,861,17,1,1,1651827600.0
463,2022050616,39502,861,16,1,1,1651824000.0
464,2022050615,44563,861,15,1,1,1651820400.0
465,2022050614,47173,861,14,1,1,1651816800.0
466,2022050613,17285,861,13,1,1,1651813200.0
467,2022050612,8591,861,12,1,1,1651809600.0
468,2022050611,26730,861,11,1,1,1651806000.0
469,2022050610,40369,861,10,1,1,1651802400.0
470,2022050609,61240,861,9,1,1,1651798800.0
471,2022050608,71004,861,8,1,1,1651795200.0
472,2022050607,4147,861,7,2,1,1651791600.0
473,2022050606,299,861,6,3,1,1651788000.0
474,2022050605,98,861,5,3,1,1651784400.0
475,2022050604,19,861,4,3,1,1651780800.0
476,2022050603,64,861,3,3,1,1651777200.0
477,2022050602,30,861,2,3,1,1651773600.0
478,2022050601,103,861,1,3,1,1651770000.0
479,2022050600,202,861,0,3,1,1651766400.0
480,2022050523,542,860,23,3,1,1651762800.0
481,2022050522,1058,860,22,2,1,1651759200.0
482,2022050521,1855,860,21,2,1,1651755600.0
483,2022050520,2742,860,20,2,1,1651752000.0
484,2022050519,4746,860,19,2,1,1651748400.0
485,2022050518,11466,860,18,1,1,1651744800.0
486,2022050517,28111,860,17,1,1,1651741200.0
487,2022050516,38907,860,16,1,1,1651737600.0
488,2022050515,46053,860,15,1,1,1651734000.0
489,2022050514,48572,860,14,1,1,1651730400.0
490,2022050513,16500,860,13,1,1,1651726800.0
491,2022050512,7786,860,12,1,1,1651723200.0
492,2022050511,26909,860,11,1,1,1651719600.0
493,2022050510,41613,860,10,1,1,1651716000.0
494,2022050509,64296,860,9,1,1,1651712400.0
495,2022050508,69367,860,8,1,1,1651708800.0
496,2022050507,4040,860,7,2,1,1651705200.0
497,2022050506,261,860,6,3,1,1651701600.0
498,2022050505,81,860,5,3,1,1651698000.0
499,2022050504,18,860,4,3,1,1651694400.0
500,2022050503,70,860,3,3,1,1651690800.0
501,2022050502,20,860,2,3,1,1651687200.0
502,2022050501,96,860,1,3,1,1651683600.0
